,cand_id,q1-score,q2-score,q3-score,q4-score,q5-score,q6-score,q7-score,q8-score,q9-score,q10-score,q11-score,q12-score,q13-score,q14-score,score,max_score,inv_id,inv_at,attempt_end,attempt_start,attempt_id,attempt_time,attempt_ct,window_exit_ct,out_of_window_seconds,network_disconnect_seconds,invite_method,team,copy_paste_ct,product_rating,tag_score_mysql,tag_score_sql,tag_scoresql_case_statement,tag_score_sql_joins,tag_score_sql_aggregate_functions,tag_score_sql_subquery,section_score_create_scripts_&_insert_statements,section_score:_data_query_language_(dql),q1-time_taken,q2-time_taken,q3-time_taken,q4-time_taken,q5-time_taken,q6-time_taken,q7-time_taken,q8-time_taken,q9-time_taken,q10-time_taken,q11-time_taken,q12-time_taken,q13-time_taken,q14-time_taken,q2-loc,q3-loc,q4-loc,q5-loc,q6-loc,q7-loc,q8-loc,q9-loc,q10-loc,q11-loc,q12-loc,q13-loc,q14-loc,q2-compile_and_test_ct,q3-compile_and_test_ct,q4-compile_and_test_ct,q5-compile_and_test_ct,q6-compile_and_test_ct,q7-compile_and_test_ct,q8-compile_and_test_ct,q9-compile_and_test_ct,q10-compile_and_test_ct,q11-compile_and_test_ct,q12-compile_and_test_ct,q13-compile_and_test_ct,q14-compile_and_test_ct,q2-lang,q3-lang,q4-lang,q5-lang,q6-lang,q7-lang,q8-lang,q9-lang,q10-lang,q11-lang,q12-lang,q13-lang,q14-lang,q2-plagiarism,q3-plagiarism,q4-plagiarism,q5-plagiarism,q6-plagiarism,q7-plagiarism,q8-plagiarism,q9-plagiarism,q10-plagiarism,q11-plagiarism,q12-plagiarism,q13-plagiarism,q14-plagiarism,q2-plagiarism_pct,q3-plagiarism_pct,q4-plagiarism_pct,q5-plagiarism_pct,q6-plagiarism_pct,q7-plagiarism_pct,q8-plagiarism_pct,q9-plagiarism_pct,q10-plagiarism_pct,q11-plagiarism_pct,q12-plagiarism_pct,q13-plagiarism_pct,q14-plagiarism_pct,q2-testcase_passed,q3-testcase_passed,q4-testcase_passed,q5-testcase_passed,q6-testcase_passed,q7-testcase_passed,q8-testcase_passed,q9-testcase_passed,q10-testcase_passed,q11-testcase_passed,q12-testcase_passed,q13-testcase_passed,q14-testcase_passed,q2-testcase_time,q3-testcase_time,q4-testcase_time,q5-testcase_time,q6-testcase_time,q7-testcase_time,q8-testcase_time,q9-testcase_time,q10-testcase_time,q11-testcase_time,q12-testcase_time,q13-testcase_time,q14-testcase_time,candidate_city,candidate_major,city,state,zip,latitude,longitude,clean_major,clean_major_class,score_pct,pass
10,232,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364600,2039-09-26 05:03:00,2029-09-28 20:53:00,2028-11-18 18:30:00,45697198,114594,1,0,0,67693,Invited Via Email,Developers|CDT_Admin,3,,60.0,10,120,60,40,0,130.0,699.0,309.0,473,375,2369,1666,2555,2652,298,7661,19528,1238,1368,8,9,9,11,9,10,11,10,9,10,10,17,21,2,2,2,3,7,7,4,6,2,11,7,7,3,6,2,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.033196,0.028235,0.032875,0.029218,0.033328,0.035159,0.035734,0.031805,0.036256,0.032722,0.034474,0.048922,0.033084,0.032722,0.034474,[TEK Global] 2021 -Java Developer 02,Coon Rapids,Coon Rapids,MN,55433.0,45.1612,-93.3149,,,0.99,1
11,231,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364598,2039-09-04 06:40:00,2029-09-08 19:15:00,2028-11-01 01:17:00,45697054,111815,1,58,15533,52342,Invited Via Email,Developers|CDT_Admin,6,5.0,60.0,10,120,60,40,0,130.0,1046.0,808.0,1874,1385,1234,1299,2603,7092,2700,2049,365,24825,10918,6,6,6,6,6,6,6,6,6,6,6,6,18,2,3,2,5,6,2,3,15,2,3,2,10,3,15,2,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027254,0.036244,0.031356,0.045831,0.033614,0.03114,0.035972,0.038077,0.043293,0.041199,0.035156,0.036988,0.032743,0.043293,0.041199,Saint Paul,,Saint Paul,MN,55101.0,44.9507,-93.0936,,,0.99,1
12,230,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364596,2039-08-13 08:17:00,2029-08-19 17:37:00,2028-10-14 08:04:00,45697078,211578,1,65,94680,134871,Invited Via Email,Developers|CDT_Admin,2,,60.0,10,120,60,40,0,130.0,5433.0,22786.0,2113,2906,6720,3904,6116,5750,7382,1938,5321,4017,1060,5,5,5,7,4,5,8,6,5,6,7,12,18,31,27,17,9,11,21,12,19,16,9,8,10,11,19,16,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.041701,0.015567,0.053266,0.034711,0.033864,0.03108,0.049456,0.034781,0.033534,0.040742,0.03411,0.039259,0.041908,0.033534,0.040742,Plymouth,,Plymouth,MN,55441.0,45.0159,-93.4305,,,0.99,1
13,229,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364594,2039-07-22 09:54:00,2029-07-30 15:59:00,2028-09-26 14:51:00,45697174,113921,1,7,480,38314,Invited Via Email,Developers|CDT_Admin,0,,60.0,10,120,60,40,0,130.0,442.0,463.0,329,310,429,1104,1096,1751,296,373,523,24002,13790,8,8,8,10,7,8,9,9,8,8,9,15,22,6,7,6,7,6,11,9,15,6,8,9,20,6,15,6,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027626,0.031394,0.031036,0.034284,0.031755,0.031248,0.034682,0.033189,0.032538,0.03353,0.035739,0.0418,0.034023,0.032538,0.03353,Plymouth,Information Management,Plymouth,MN,55441.0,45.0159,-93.4305,Information Management,IT-NonDev,0.99,1
14,228,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364592,2039-06-30 11:31:00,2029-07-10 14:21:00,2028-09-08 21:38:00,45697222,221759,1,9,4919,125412,Invited Via Email,Developers|CDT_Admin,0,5.0,60.0,10,120,60,40,0,130.0,10705.0,9614.0,12897,7369,4336,8043,8011,2526,996,3984,2870,2120,16124,10,11,10,13,10,12,13,11,10,11,11,20,24,7,16,11,10,6,6,4,5,5,9,6,5,3,5,5,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.048107,0.038452,0.029183,0.039185,0.032486,0.038401,0.049622,0.039184,0.033177,0.031646,0.040652,0.103502,0.038631,0.031646,0.040652,[TEK Global] 2021 -Java Developer 02,Minneapolis,Minneapolis,MN,55401.0,44.9842,-93.2663,,,0.99,1
15,227,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364590,2039-06-08 13:08:00,2029-06-20 12:43:00,2028-08-22 04:25:00,45697112,175470,1,13,941,131382,Invited Via Email,Developers|CDT_Admin,7,,60.0,10,120,60,40,0,130.0,1118.0,3405.0,1486,609,2700,6512,8761,2676,894,7442,3126,2374,2163,5,5,4,6,4,5,11,6,5,6,6,14,31,4,9,4,5,19,10,22,12,4,16,37,13,12,12,4,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02975,0.036704,0.046868,0.053477,0.03133,0.030521,0.032984,0.038269,0.037385,0.035322,0.033063,0.038337,0.034484,0.035322,0.033063,[TEK Global] 2021 -Java Developer 02,Minneapolis,Minneapolis,MN,55401.0,44.9842,-93.2663,,,0.99,1
16,226,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364588,2039-05-17 14:45:00,2029-05-31 11:05:00,2028-08-04 11:12:00,45697230,116183,1,3,1436,63868,Invited Via Email,Developers|CDT_Admin,17,,60.0,10,120,60,40,0,130.0,960.0,728.0,879,841,2856,840,2308,4378,584,25543,649,8558,2095,10,10,9,12,9,10,13,11,10,11,12,16,24,7,5,6,6,10,5,8,6,5,6,9,10,4,6,5,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.028903,0.030871,0.036679,0.029283,0.032275,0.029994,0.04369,0.033664,0.036586,0.033066,0.047212,0.191441,0.033899,0.036586,0.033066,St. Paul,Full Stack Development,St. Paul,MN,55104.0,44.9526,-93.168,Software Development,IT-Dev,0.99,1
17,225,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364584,2039-04-25 16:22:00,2029-05-11 09:27:00,2028-07-17 17:59:00,45697216,209170,1,14,2317,68510,Invited Via Email,Developers|CDT_Admin,0,,60.0,10,120,60,40,0,130.0,625.0,754.0,15496,1419,5964,748,1804,679,6004,3271,5405,79692,3426,9,9,8,13,9,10,11,11,9,11,11,16,24,2,3,3,4,4,4,2,3,2,2,9,4,3,3,2,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.026529,0.030288,0.031528,0.035751,0.030809,0.033406,0.043236,0.034633,0.033715,0.037302,0.035354,0.04057,0.044572,0.037302,0.035354,[TEK Global] 2021 -Java Developer 02,Chanhassen,Chanhassen,MN,55317.0,45.0095,-93.4689,,,0.99,1
18,224,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364582,2039-04-03 17:59:00,2029-04-21 07:49:00,2028-06-30 00:46:00,45697338,103020,1,22,589,64091,Invited Via Email,Developers|CDT_Admin,26,,60.0,10,120,60,40,0,130.0,2021.0,388.0,534,250,1373,710,4879,16588,1879,1413,2183,1655,4358,6,6,6,6,6,6,6,1,6,6,6,6,26,12,7,5,7,21,11,11,35,20,11,12,10,21,35,20,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.030007,0.032514,0.028186,0.175412,0.03071,0.029536,0.044726,0.035369,0.033722,0.034153,0.036887,0.04211,0.037083,0.033722,0.034153,New York City,CS,New York,NY,10001.0,40.7506,-73.9972,Computer Science,IT-Dev,0.99,1
19,221,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364576,2039-03-12 19:36:00,2029-02-20 02:55:00,2028-05-07 21:07:00,45697242,112467,1,35,3356,81585,Invited Via Email,Developers|CDT_Admin,19,4.0,60.0,10,120,60,40,0,130.0,4109.0,2167.0,2045,1114,1912,1068,4716,2269,1444,2191,1666,3472,2068,12,12,11,14,11,12,14,13,12,13,12,18,28,7,6,5,4,6,3,5,8,2,6,3,3,5,8,2,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.028153,0.034265,0.030187,0.035951,0.030779,0.029704,0.037895,0.155282,0.035075,0.035004,0.034762,0.042201,0.016348,0.035004,0.034762,[TEK Global] 2021 -Java Developer 01,Madison,Madison,WI,53703.0,43.0772,-89.3945,,,0.99,1
20,216,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364566,2039-02-18 21:13:00,2028-11-11 18:45:00,2028-02-09 07:02:00,45697000,196601,1,5,264,72784,Invited Via Email,Developers|CDT_Admin,43,4.0,60.0,10,120,60,40,0,130.0,1903.0,1580.0,1356,1245,2345,3198,536,2437,14892,1188,3625,1536,86309,8,10,9,10,7,9,11,9,7,8,10,15,22,13,7,8,3,13,19,2,5,3,6,6,7,3,5,3,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.028943,0.014032,0.031409,0.042087,0.030922,0.01395,0.045643,0.035842,0.030598,0.036884,0.036123,0.040477,0.051938,0.036884,0.036123,[TEK Global] 2021 -Java Developer 01,Minneapolis,Minneapolis,MN,55401.0,44.9842,-93.2663,,,0.99,1
21,212,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,130.0,131,38364554,2039-01-27 22:50:00,2028-08-23 12:13:00,2027-11-30 10:10:00,45697250,30112,1,49,8744,5689,Invited Via Email,Developers|CDT_Admin,22,2.0,60.0,10,120,60,40,0,130.0,993.0,536.0,1209,520,1862,613,1401,2758,535,3590,697,3159,5795,12,11,8,9,8,9,12,9,8,13,10,18,25,3,3,7,3,16,9,3,6,3,16,3,3,18,6,3,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,mysql,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029408,0.034365,0.038518,0.035122,0.030711,0.035893,0.020538,0.035271,0.016575,0.018377,0.040939,0.040807,0.018413,0.018377,0.040939,[TEK Global] 2021 -Java Developer 01,Glen Rock,Glen Rock,NJ,7452.0,40.9617,-74.1176,,,0.99,1
